DateTime,Open,Close,High,Low
2021-10-01,3289.01,3283.26,3309.1746,3255.94
2021-10-04,3279.39,3189.78,3279.99,3176.25
2021-10-05,3204.5,3221,3260.73,3202.464
2021-10-06,3213.53,3262.01,3264.34,3198.62
2021-10-07,3291.54,3302.43,3325.746,3283.06
2021-10-08,3317,3288.62,3321.43,3288.2
2021-10-11,3275,3246.3,3292.5899,3238.1
2021-10-12,3257,3247.33,3267.528,3236.28
2021-10-13,3269.71,3284.28,3288.38,3261.0889
2021-10-14,3302.4541,3299.86,3312.6,3290.78
2021-10-15,3311.42,3409.02,3410.42,3304
2021-10-18,3388.3576,3446.74,3449.17,3385.1
2021-10-19,3434.29,3444.15,3454.69,3422
2021-10-20,3452.66,3415.06,3462.86,3400.37
2021-10-21,3414.25,3435.01,3440.28,3403
2021-10-22,3421,3335.55,3429.84,3331.3
2021-10-25,3335,3320.37,3347.7997,3297.7
2021-10-26,3349.51,3376.07,3416.12,3343.98
2021-10-27,3388,3392.49,3437,3371.4534
2021-10-28,3402.095,3446.57,3479,3386
2021-10-29,3300.02,3372.43,3374.82,3273.32
2021-11-01,3361.8,3318.11,3375.86,3292.02
2021-11-02,3315.01,3312.75,3331.115,3283.55
2021-11-03,3309,3384,3394.92,3297.52
2021-11-04,3370,3477,3498.625,3365.0001
2021-11-05,3477,3518.99,3566.25,3476.98
2021-11-08,3523.24,3488.98,3579,3487.86
2021-11-09,3515.25,3576.23,3593.77,3501.425
2021-11-10,3563.87,3482.05,3605.45,3463.09
2021-11-11,3513,3472.5,3543.24,3467.47
2021-11-12,3485,3525.15,3540.7262,3447.05
2021-11-15,3537,3545.68,3593.88,3525.81
2021-11-16,3539,3540.7,3576.5,3525.1466
2021-11-17,3564.72,3549,3587.245,3545.35
2021-11-18,3566.35,3696.06,3704.2,3561
2021-11-19,3712.69,3676.57,3762.145,3675.72
2021-11-22,3676.3768,3572.57,3713.455,3567.5
2021-11-23,3585.04,3580.04,3621.05,3527.71
2021-11-24,3562.67,3580.41,3613.64,3536.85
2021-11-26,3602.095,3504.56,3633.5,3504.15
2021-11-29,3547.6443,3561.57,3596,3531.5001
2021-11-30,3563.5,3507.07,3585.77,3492.01
2021-12-01,3545,3443.72,3559.88,3441.6
2021-12-02,3460,3437.36,3492.7,3423.75
2021-12-03,3455,3389.79,3469.865,3338.6
2021-12-06,3393,3427.37,3473.91,3338.69
2021-12-07,3492,3523.29,3549.99,3466.69
2021-12-08,3523.01,3523.16,3543.6,3495.01
2021-12-09,3515,3483.42,3539.39,3482.79
2021-12-10,3508.34,3444.24,3518.54,3410
2021-12-13,3440,3391.35,3442,3382.6
2021-12-14,3351,3381.83,3389.98,3328.8
2021-12-15,3371.96,3466.3,3472,3303.9
2021-12-16,3467.3714,3377.42,3483.32,3363.205
2021-12-17,3354.21,3400.35,3417.97,3312.271
2021-12-20,3337,3341.58,3357.4851,3312
2021-12-21,3357.01,3408.34,3414.3299,3312.95
2021-12-22,3385.395,3420.74,3441,3370.01
2021-12-23,3408.56,3421.37,3439.5,3403
2021-12-27,3420.74,3393.39,3458.86,3384.31
2021-12-28,3403.65,3413.22,3443.5176,3382.71
2021-12-29,3416.8,3384.02,3424.24,3372.0101
2021-12-30,3394,3372.89,3417.76,3370.48
2021-12-31,3379.12,3334.34,3387,3331.17
2022-01-03,3351,3408.09,3414.07,3323.21
2022-01-04,3408.76,3350.44,3428,3326.99
2022-01-05,3337.66,3287.14,3342.525,3287.14
2022-01-06,3269.01,3265.08,3296,3238.7442
2022-01-07,3276.78,3251.08,3304.865,3240.62
2022-01-10,3211.71,3229.72,3233.23,3126.09
2022-01-11,3230,3307.24,3327,3214.03
2022-01-12,3331.5,3304.14,3337.56,3288.34
2022-01-13,3305.01,3224.28,3324.4299,3221.82
2022-01-14,3203,3242.76,3245,3196.01
2022-01-18,3182.1,3178.35,3194.6899,3153.29
2022-01-19,3175.24,3125.98,3185,3125
2022-01-20,3135.32,3033.35,3160,3027.02
2022-01-21,2999,2852.86,3018,2841.408
2022-01-24,2780,2890.88,2898.9,2707.04
2022-01-25,2844.85,2799.72,2872,2762.9
2022-01-26,2895,2777.45,2903.695,2746.37
2022-01-27,2816,2792.75,2884.87,2787
2022-01-28,2817.21,2879.56,2879.96,2758.585
2022-01-31,2895,2991.47,3007.21,2886.0101
2022-02-01,3000,3023.87,3034.16,2952.5548
2022-02-02,3101.0085,3012.25,3101.5,2977.2717
2022-02-03,2834.75,2776.91,2884.95,2766.66
2022-02-04,3112.13,3152.79,3224,3012.16
2022-02-07,3170.4,3158.71,3253.815,3145
2022-02-08,3135.01,3228.27,3235.85,3111.01
2022-02-09,3257.47,3223.79,3276.69,3205
2022-02-10,3167,3180.07,3214.33,3155
2022-02-11,3162.6902,3065.87,3180,3054.675
2022-02-14,3035.02,3103.34,3168.9663,3033
2022-02-15,3152.11,3130.21,3160.14,3092.75
2022-02-16,3115.81,3162.01,3176.68,3094.69
2022-02-17,3162.92,3093.05,3206.975,3090
2022-02-18,3109.99,3052.03,3109.99,3017.86
